validTimeUtc,irradianceGlobalHorizontal,irradianceDirectNormal,
Sunday October 9 2022 at 12:30:00 AM,0,0,
Sunday October 9 2022 at 12:45:00 AM,0,0,
Sunday October 9 2022 at 1:00:00 AM,0,0,
Sunday October 9 2022 at 1:15:00 AM,0,0,
Sunday October 9 2022 at 1:30:00 AM,0,0,
Sunday October 9 2022 at 1:45:00 AM,0,0,
Sunday October 9 2022 at 2:00:00 AM,0,0,
Sunday October 9 2022 at 2:15:00 AM,0,0,
Sunday October 9 2022 at 2:30:00 AM,0,0,
Sunday October 9 2022 at 2:45:00 AM,0,0,
Sunday October 9 2022 at 3:00:00 AM,0,0,
Sunday October 9 2022 at 3:15:00 AM,0,0,
Sunday October 9 2022 at 3:30:00 AM,0,0,
Sunday October 9 2022 at 3:45:00 AM,0,0,
Sunday October 9 2022 at 4:00:00 AM,0,0,
Sunday October 9 2022 at 4:15:00 AM,0,0,
Sunday October 9 2022 at 4:30:00 AM,0,0,
Sunday October 9 2022 at 4:45:00 AM,0,0,
Sunday October 9 2022 at 5:00:00 AM,0,0,
Sunday October 9 2022 at 5:15:00 AM,0,0,
Sunday October 9 2022 at 5:30:00 AM,0,0,
Sunday October 9 2022 at 5:45:00 AM,0,0,
Sunday October 9 2022 at 6:00:00 AM,0,0,
Sunday October 9 2022 at 6:15:00 AM,0,0,
Sunday October 9 2022 at 6:30:00 AM,0,0,
Sunday October 9 2022 at 6:45:00 AM,0,0,
Sunday October 9 2022 at 7:00:00 AM,0,0,
Sunday October 9 2022 at 7:15:00 AM,0.1,20,
Sunday October 9 2022 at 7:30:00 AM,15,213,
Sunday October 9 2022 at 7:45:00 AM,57.9,410.8,
Sunday October 9 2022 at 8:00:00 AM,105.9,536.9,
Sunday October 9 2022 at 8:15:00 AM,146.4,566.5,
Sunday October 9 2022 at 8:30:00 AM,188.4,604.2,
Sunday October 9 2022 at 8:45:00 AM,232.6,650.9,
Sunday October 9 2022 at 9:00:00 AM,277.3,693.3,
Sunday October 9 2022 at 9:15:00 AM,323.2,739.7,
Sunday October 9 2022 at 9:30:00 AM,367.2,768.2,
Sunday October 9 2022 at 9:45:00 AM,411,793.2,
Sunday October 9 2022 at 10:00:00 AM,453.9,813.7,
Sunday October 9 2022 at 10:15:00 AM,496.7,830.5,
Sunday October 9 2022 at 10:30:00 AM,535.9,845.1,
Sunday October 9 2022 at 10:45:00 AM,572.2,858.9,
Sunday October 9 2022 at 11:00:00 AM,605.6,872.3,
Sunday October 9 2022 at 11:15:00 AM,636.3,886.5,
Sunday October 9 2022 at 11:30:00 AM,662.3,896,
Sunday October 9 2022 at 11:45:00 AM,683.5,902.5,
Sunday October 9 2022 at 12:00:00 PM,700.2,907,
Sunday October 9 2022 at 12:15:00 PM,711.8,909.4,
Sunday October 9 2022 at 12:30:00 PM,719.6,911.4,
Sunday October 9 2022 at 12:45:00 PM,723.2,912.5,
Sunday October 9 2022 at 1:00:00 PM,722.8,912.6,
Sunday October 9 2022 at 1:15:00 PM,718.6,912.4,
Sunday October 9 2022 at 1:30:00 PM,709.9,910.4,
Sunday October 9 2022 at 1:45:00 PM,696.9,906.7,
Sunday October 9 2022 at 2:00:00 PM,680,900.3,
Sunday October 9 2022 at 2:15:00 PM,659.1,890,
Sunday October 9 2022 at 2:30:00 PM,635.5,880.8,
Sunday October 9 2022 at 2:45:00 PM,608.7,871.5,
Sunday October 9 2022 at 3:00:00 PM,578.8,862,
Sunday October 9 2022 at 3:15:00 PM,546.1,851.5,
Sunday October 9 2022 at 3:30:00 PM,510.5,838.8,
Sunday October 9 2022 at 3:45:00 PM,472.4,823.6,
Sunday October 9 2022 at 4:00:00 PM,431.8,806.3,
Sunday October 9 2022 at 4:15:00 PM,388.6,785,
Sunday October 9 2022 at 4:30:00 PM,343.9,759.5,
Sunday October 9 2022 at 4:45:00 PM,297.6,727.7,
Sunday October 9 2022 at 5:00:00 PM,250.1,689.1,
Sunday October 9 2022 at 5:15:00 PM,198.7,641.8,
Sunday October 9 2022 at 5:30:00 PM,150.2,572.3,
Sunday October 9 2022 at 5:45:00 PM,103.3,478.9,
Sunday October 9 2022 at 6:00:00 PM,60,356.8,
Sunday October 9 2022 at 6:15:00 PM,19.4,198.3,
Sunday October 9 2022 at 6:30:00 PM,0.2,19.8,
Sunday October 9 2022 at 6:45:00 PM,0,0,
Sunday October 9 2022 at 7:00:00 PM,0,0,
Sunday October 9 2022 at 7:15:00 PM,0,0,
Sunday October 9 2022 at 7:30:00 PM,0,0,
Sunday October 9 2022 at 7:45:00 PM,0,0,
Sunday October 9 2022 at 8:00:00 PM,0,0,
Sunday October 9 2022 at 8:15:00 PM,0,0,
Sunday October 9 2022 at 8:30:00 PM,0,0,
Sunday October 9 2022 at 8:45:00 PM,0,0,
Sunday October 9 2022 at 9:00:00 PM,0,0,
Sunday October 9 2022 at 9:15:00 PM,0,0,
Sunday October 9 2022 at 9:30:00 PM,0,0,
Sunday October 9 2022 at 9:45:00 PM,0,0,
Sunday October 9 2022 at 10:00:00 PM,0,0,
Sunday October 9 2022 at 10:15:00 PM,0,0,
Sunday October 9 2022 at 10:30:00 PM,0,0,
Sunday October 9 2022 at 10:45:00 PM,0,0,
Sunday October 9 2022 at 11:00:00 PM,0,0,
Sunday October 9 2022 at 11:15:00 PM,0,0,
Sunday October 9 2022 at 11:30:00 PM,0,0,
Sunday October 9 2022 at 11:45:00 PM,0,0,
Monday October 10 2022 at 12:00:00 AM,0,0,
Monday October 10 2022 at 12:15:00 AM,0,0,
Monday October 10 2022 at 12:30:00 AM,0,0,
Monday October 10 2022 at 12:45:00 AM,0,0,
Monday October 10 2022 at 1:00:00 AM,0,0,
Monday October 10 2022 at 1:15:00 AM,0,0,
Monday October 10 2022 at 1:30:00 AM,0,0,
Monday October 10 2022 at 1:45:00 AM,0,0,
Monday October 10 2022 at 2:00:00 AM,0,0,
Monday October 10 2022 at 2:15:00 AM,0,0,
Monday October 10 2022 at 2:30:00 AM,0,0,
Monday October 10 2022 at 2:45:00 AM,0,0,
Monday October 10 2022 at 3:00:00 AM,0,0,
Monday October 10 2022 at 3:15:00 AM,0,0,
Monday October 10 2022 at 3:30:00 AM,0,0,
Monday October 10 2022 at 3:45:00 AM,0,0,
Monday October 10 2022 at 4:00:00 AM,0,0,
Monday October 10 2022 at 4:15:00 AM,0,0,
Monday October 10 2022 at 4:30:00 AM,0,0,
Monday October 10 2022 at 4:45:00 AM,0,0,
Monday October 10 2022 at 5:00:00 AM,0,0,
Monday October 10 2022 at 5:15:00 AM,0,0,
Monday October 10 2022 at 5:30:00 AM,0,0,
Monday October 10 2022 at 5:45:00 AM,0,0,
Monday October 10 2022 at 6:00:00 AM,0,0,
Monday October 10 2022 at 6:15:00 AM,0,0,
Monday October 10 2022 at 6:30:00 AM,0,0,
Monday October 10 2022 at 6:45:00 AM,0,0,
Monday October 10 2022 at 7:00:00 AM,0,0,
Monday October 10 2022 at 7:15:00 AM,0.1,10.9,
Monday October 10 2022 at 7:30:00 AM,14.7,158,
Monday October 10 2022 at 7:45:00 AM,62.6,319,
Monday October 10 2022 at 8:00:00 AM,116,440.6,
Monday October 10 2022 at 8:15:00 AM,157.8,521.3,
Monday October 10 2022 at 8:30:00 AM,200.6,585.9,
Monday October 10 2022 at 8:45:00 AM,244.7,636.1,
Monday October 10 2022 at 9:00:00 AM,288,673.9,
Monday October 10 2022 at 9:15:00 AM,330.5,699,
Monday October 10 2022 at 9:30:00 AM,370.3,721.2,
Monday October 10 2022 at 9:45:00 AM,408.9,741.2,
Monday October 10 2022 at 10:00:00 AM,445.6,763.3,
Monday October 10 2022 at 10:15:00 AM,478.9,786.2,
Monday October 10 2022 at 10:30:00 AM,511.9,810.2,
Monday October 10 2022 at 10:45:00 AM,544.6,835.4,
Monday October 10 2022 at 11:00:00 AM,578.5,869.5,
Monday October 10 2022 at 11:15:00 AM,616.6,922.3,
Monday October 10 2022 at 11:30:00 AM,645,951,
Monday October 10 2022 at 11:45:00 AM,665.4,962,
Monday October 10 2022 at 12:00:00 PM,679.7,956.7,
Monday October 10 2022 at 12:15:00 PM,686.7,931,
Monday October 10 2022 at 12:30:00 PM,690.7,904.5,
Monday October 10 2022 at 12:45:00 PM,690,872.2,
Monday October 10 2022 at 1:00:00 PM,684.8,836,
Monday October 10 2022 at 1:15:00 PM,676.5,799.2,
Monday October 10 2022 at 1:30:00 PM,662.6,754.6,
Monday October 10 2022 at 1:45:00 PM,643.6,703.7,
Monday October 10 2022 at 2:00:00 PM,618,643.1,
Monday October 10 2022 at 2:15:00 PM,584.2,566.5,
Monday October 10 2022 at 2:30:00 PM,554.5,507.5,
Monday October 10 2022 at 2:45:00 PM,526.5,458.4,
Monday October 10 2022 at 3:00:00 PM,498.1,417.1,
Monday October 10 2022 at 3:15:00 PM,470.2,383.1,
Monday October 10 2022 at 3:30:00 PM,439.2,358,
Monday October 10 2022 at 3:45:00 PM,406.7,341.2,
Monday October 10 2022 at 4:00:00 PM,372.3,327.9,
Monday October 10 2022 at 4:15:00 PM,336.6,320.4,
Monday October 10 2022 at 4:30:00 PM,298.2,303.2,
Monday October 10 2022 at 4:45:00 PM,258,280.4,
Monday October 10 2022 at 5:00:00 PM,215.9,252.3,
Monday October 10 2022 at 5:15:00 PM,168.6,214.8,
Monday October 10 2022 at 5:30:00 PM,126,179.7,
Monday October 10 2022 at 5:45:00 PM,85.8,141.5,
Monday October 10 2022 at 6:00:00 PM,49.4,100.2,
Monday October 10 2022 at 6:15:00 PM,14.9,56,
Monday October 10 2022 at 6:30:00 PM,0,3.2,
Monday October 10 2022 at 6:45:00 PM,0,0,
Monday October 10 2022 at 7:00:00 PM,0,0,
Monday October 10 2022 at 7:15:00 PM,0,0,
Monday October 10 2022 at 7:30:00 PM,0,0,
Monday October 10 2022 at 7:45:00 PM,0,0,
Monday October 10 2022 at 8:00:00 PM,0,0,
